time_s,v_m_s,omega_rad_s,clearance_m
9.200000000000001066e+00,-7.950293936901892122e-02,-9.999999999999996669e-01,1.344276957682084328e+00
9.300000000000000711e+00,-3.798834198179552868e-02,-1.000000000000000000e+00,1.341063716899984826e+00
9.400000000000000355e+00,-5.005428741895821126e-02,-9.999999999999997780e-01,1.336588035491931059e+00
9.500000000000000000e+00,-1.840220213537329952e-01,-3.737620349555937360e-01,1.319414919536334052e+00
9.600000000000001421e+00,-8.155169164665283799e-02,-1.142427005933553952e-01,1.311709580257689689e+00
9.700000000000001066e+00,-2.528757071459220712e-02,-3.644208286721241363e-02,1.309312062551204692e+00
9.800000000000000711e+00,-6.734163293040995590e-03,-1.639858090545398550e-02,1.308672901825370660e+00
9.900000000000000355e+00,-4.343177602044784834e-03,-2.148223058191527438e-03,1.308260471506279110e+00
1.000000000000000000e+01,-2.169497704126561143e-04,-3.717946185072736401e-03,1.308239868758352742e+00
1.010000000000000142e+01,-1.072689923048045051e-03,-5.139947747105251541e-03,1.308137988231248494e+00
1.020000000000000107e+01,2.710445290903993297e-04,7.406340153259232534e-04,1.308163735415978080e+00
1.030000000000000071e+01,-4.092879492350336070e-04,1.038348036109187390e-03,1.308124857118107665e+00
1.040000000000000036e+01,7.252280316305320315e-05,6.672640530788346083e-04,1.308131745820961145e+00
1.050000000000000000e+01,1.194095185668006195e-04,2.611456212803925370e-04,1.308143087898325341e+00
1.060000000000000142e+01,2.891883497194071978e-05,7.684840059026670778e-05,1.308145834723191792e+00
1.070000000000000107e+01,7.777142548741301439e-06,3.144129757480778470e-05,1.308146573425065240e+00
1.080000000000000071e+01,-3.460417003786804557e-06,-2.964541168778804525e-05,1.308146244742145470e+00
1.090000000000000036e+01,-9.647672677508527944e-06,-3.256456283459805562e-05,1.308145328370461380e+00
1.100000000000000000e+01,1.228073494435812270e-05,3.855229270122856322e-05,1.308146494841414320e+00
1.110000000000000142e+01,1.085212794128386643e-05,-2.708179412388295182e-06,1.308147525616621287e+00
1.120000000000000107e+01,-3.064767062540391628e-05,2.863404054317952863e-05,1.308144614587598120e+00
1.130000000000000071e+01,1.947017164792043398e-05,-1.356599250550670488e-05,1.308146463934633852e+00
1.140000000000000036e+01,-1.588166364835863140e-05,9.098279781240455055e-05,1.308144955436318702e+00
1.150000000000000000e+01,2.439110540560754554e-05,-4.784709357834836252e-05,1.308147272185572474e+00
1.160000000000000142e+01,-1.709241731781660674e-05,7.596857358949365285e-05,1.308145648687664808e+00
1.170000000000000107e+01,1.040690096123435097e-05,-5.365373864402080833e-05,1.308146637169218973e+00
1.180000000000000071e+01,8.562994122058914179e-06,7.008643866480285256e-06,1.308147450511956578e+00
1.190000000000000036e+01,-6.538521195981715495e-08,-5.739927764154134637e-05,1.308147444301444695e+00
1.200000000000000000e+01,-3.352848012812053788e-05,-9.381986255160151833e-06,1.308144259645705132e+00
1.210000000000000142e+01,1.028547154903708231e-05,8.411728852460859107e-06,1.308145236597031635e+00
1.220000000000000107e+01,-7.600447835014482664e-06,-1.286893422053087682e-05,1.308144514679171477e+00
1.230000000000000071e+01,4.402438431972376109e-05,-5.159292446118689951e-05,1.308148696275841738e+00
1.240000000000000036e+01,-5.284251475824622117e-05,3.776905167992249124e-06,1.308143677092613144e+00
1.250000000000000000e+01,4.792192768089675869e-06,6.572973814669095388e-05,1.308144132273184157e+00
1.260000000000000142e+01,1.760641444088946461e-05,-1.278598990553207748e-05,1.308145804593461303e+00
1.270000000000000107e+01,-1.419175161992687444e-05,4.874180427948907740e-05,1.308144456609498629e+00
1.280000000000000071e+01,1.442164310564353000e-05,-2.879714062280561149e-05,1.308145826427190350e+00
1.290000000000000036e+01,-2.809127994527686571e-05,8.125520781024353489e-05,1.308143158217584645e+00
1.300000000000000000e+01,4.380332481597275750e-05,-1.180520431844165469e-05,1.308147318802178827e+00
1.310000000000000142e+01,3.537572549127971505e-06,2.902786873943546953e-07,1.308147654812706673e+00
1.320000000000000107e+01,3.221125857045788535e-06,-5.700320791334183984e-05,1.308147960766070206e+00
1.330000000000000071e+01,-2.396085214505130727e-05,-1.852309490476579390e-05,1.308145684879691517e+00
1.340000000000000036e+01,2.153766480574286629e-06,2.427041759581020919e-05,1.308145889452146937e+00
1.350000000000000000e+01,3.034525651973837487e-05,-4.145137967640454002e-05,1.308148771751381778e+00
1.360000000000000142e+01,-1.961459590216945229e-05,-2.837167389430940434e-05,1.308146908685426935e+00
1.370000000000000107e+01,1.598058606801277051e-05,-1.693019570841482191e-05,1.308148426581251744e+00
1.380000000000000071e+01,-3.150520151274792575e-05,9.875758880673046747e-06,1.308145434097911508e+00
1.390000000000000036e+01,1.366226882780745971e-05,-4.228670837891270601e-05,1.308146731791427042e+00
1.400000000000000000e+01,-7.618893925341119547e-06,5.593960867991427249e-05,1.308146008119292825e+00
1.410000000000000142e+01,-2.606605927110185184e-06,-1.431161445696483431e-05,1.308145760534204394e+00
1.420000000000000107e+01,-2.023885626054391929e-05,5.660835155547102454e-05,1.308143838171921036e+00
1.430000000000000071e+01,8.319681086495916977e-06,5.920072965558652311e-05,1.308144628404845689e+00
1.440000000000000036e+01,2.244562365823405715e-05,-1.504565906096724803e-05,1.308146760366180494e+00
1.450000000000000000e+01,1.364752863570540056e-06,-4.966781674808733171e-05,1.308146889995104756e+00
1.460000000000000142e+01,2.411016515619941042e-06,-5.640675813713309783e-05,1.308147119002129877e+00
1.470000000000000107e+01,-2.765721833300678091e-05,1.056018568486652431e-05,1.308144492015385518e+00
1.480000000000000071e+01,6.346024291124839969e-06,8.714650563781088655e-05,1.308145094784409102e+00
1.490000000000000036e+01,1.095679793247650302e-05,-1.147470985082485462e-06,1.308146135498971852e+00
1.500000000000000000e+01,2.774148296733969579e-05,-1.058115727922094226e-04,1.308148770481470269e+00
1.510000000000000142e+01,-3.022635179926306571e-05,6.185641790487639291e-06,1.308145899467516582e+00
1.520000000000000107e+01,-3.247912750611045909e-06,-7.912427881135580821e-06,1.308145590968503136e+00
1.530000000000000071e+01,2.253041954057045937e-05,2.953961198931803062e-05,1.308147730993518332e+00
1.540000000000000036e+01,-1.859054822223905890e-05,1.627606081716637121e-06,1.308145965194169147e+00
1.550000000000000000e+01,-7.571334536833835074e-06,-2.529408233624408364e-05,1.308145246040793630e+00
1.560000000000000142e+01,-1.056381130809785213e-06,2.589768020206956872e-05,1.308145145701724354e+00
1.570000000000000107e+01,-1.142115804463701353e-05,3.413156013089974072e-05,1.308144060877975967e+00
1.580000000000000071e+01,2.610245106812020786e-05,-3.310090578614692525e-05,1.308146540182483886e+00
1.590000000000000036e+01,-1.461164103355771030e-05,8.153632063555467380e-06,1.308145152314789117e+00
1.600000000000000000e+01,-1.424416200769464819e-07,-1.749871962778305062e-05,1.308145138785161921e+00
1.610000000000000142e+01,9.304047935415529075e-06,2.494367675990195182e-05,1.308146022518290819e+00
1.619999999999999929e+01,-2.657865057596590398e-05,1.021116881227603773e-04,1.308143497981303138e+00
1.630000000000000071e+01,4.471066059750779080e-05,-3.203703595116690755e-05,1.308147744748634933e+00
1.640000000000000213e+01,-7.125146951872732282e-06,-3.135411913163937969e-05,1.308147067977652789e+00
1.650000000000000000e+01,1.026078610876033498e-05,-1.924820022807579439e-05,1.308148042583453519e+00
