time_s,x_m,y_m,theta_rad
6.900000000000000355e+00,5.056109589687363126e+00,1.624514264869494351e+00,1.677103042967147628e+00
7.000000000000000000e+00,5.045498929838741375e+00,1.723949740913085282e+00,1.674017892799273710e+00
7.100000000000000533e+00,5.035195093375165243e+00,1.823417479170933886e+00,1.670514247467404179e+00
7.200000000000000178e+00,5.025239819117870432e+00,1.922920707834440357e+00,1.666508721061157328e+00
7.300000000000000711e+00,5.015683186467037480e+00,2.022463014279287208e+00,1.663137692766828435e+00
7.400000000000000355e+00,5.006462167412095710e+00,2.122036970751792762e+00,1.658039468697130037e+00
7.500000000000000000e+00,4.997748916335257974e+00,2.221656643786694030e+00,1.655120673944040277e+00
7.600000000000000533e+00,4.989326471340205238e+00,2.321301324628764373e+00,1.653378857119756296e+00
7.700000000000000178e+00,4.981077601815387723e+00,2.420960524663495317e+00,1.649502718776143961e+00
7.800000000000000711e+00,4.973215086137092733e+00,2.520650949716298328e+00,1.647390228649391108e+00
7.900000000000000355e+00,4.965563182884501714e+00,2.620357761803602692e+00,1.646445897604701836e+00
8.000000000000000000e+00,4.958005439267772374e+00,2.720071755362299282e+00,1.648485656421151191e+00
8.099999999999999645e+00,4.950244319017027550e+00,2.819770125521754878e+00,1.654488163846371984e+00
8.200000000000001066e+00,4.941884901969285870e+00,2.919420113713528497e+00,1.666682110419693164e+00
8.300000000000000711e+00,4.932311009885523845e+00,3.018960761643751045e+00,1.690957566710981075e+00
8.400000000000000355e+00,4.920323781274204222e+00,3.118239693699951687e+00,1.711329310266578752e+00
8.500000000000000000e+00,4.906316694918351651e+00,3.217253841839596173e+00,1.711857505223342013e+00
8.599999999999999645e+00,4.892257311745153103e+00,3.316260577695239409e+00,1.630712949811773838e+00
8.700000000000001066e+00,4.886269233812998714e+00,3.416081131303594365e+00,1.530712949811773749e+00
8.800000000000000711e+00,4.890276498246795889e+00,3.516000808203380235e+00,1.430712949811774104e+00
8.900000000000000355e+00,4.904239065784946838e+00,3.615021244012068369e+00,1.330712949811774015e+00
9.000000000000000000e+00,4.914692051339416778e+00,3.657720463258117505e+00,1.230712949811773926e+00
9.099999999999999645e+00,4.911881553467349448e+00,3.649777404768062006e+00,1.130712949811773838e+00
9.200000000000001066e+00,4.907964153881694713e+00,3.641458130804992255e+00,1.030712949811773749e+00
9.300000000000000711e+00,4.903876053088059628e+00,3.634639435505726990e+00,9.307129498117737709e-01
9.400000000000000355e+00,4.901607152578232984e+00,3.631592595873950113e+00,8.307129498117737931e-01
9.500000000000000000e+00,4.898231744306130508e+00,3.627896525543609751e+00,7.307129498117738153e-01
9.600000000000001421e+00,4.884527647039715426e+00,3.615614882268226360e+00,6.933367463162144473e-01
9.700000000000001066e+00,4.878255361580073668e+00,3.610402855866041261e+00,6.819124762568788967e-01
9.800000000000000711e+00,4.876292113624213442e+00,3.608809033482503370e+00,6.782682679701576012e-01
9.900000000000000355e+00,4.875767750959980162e+00,3.608386501413979097e+00,6.766284098796122581e-01
1.000000000000000000e+01,4.875429118471918066e+00,3.608114545618199553e+00,6.764135875737931070e-01
1.010000000000000142e+01,4.875412200233648186e+00,3.608100964556287593e+00,6.760417929552858807e-01
1.020000000000000107e+01,4.875328524464723756e+00,3.608033845241593873e+00,6.755277981805754006e-01
1.030000000000000071e+01,4.875349676156988110e+00,3.608050793907672915e+00,6.756018615821079987e-01
1.040000000000000036e+01,4.875317738161465186e+00,3.608025198386661359e+00,6.757056963857188681e-01
1.050000000000000000e+01,4.875323396867543124e+00,3.608029734311628545e+00,6.757724227910267834e-01
1.060000000000000142e+01,4.875332713485162728e+00,3.608037203378998026e+00,6.757985373531548712e-01
1.070000000000000107e+01,4.875334969754930192e+00,3.608039012311528015e+00,6.758062221932138458e-01
1.080000000000000071e+01,4.875335576529840509e+00,3.608039498792432465e+00,6.758093663229712833e-01
1.090000000000000036e+01,4.875335306547786018e+00,3.608039282333316944e+00,6.758064017818025127e-01
1.100000000000000000e+01,4.875334553833682527e+00,3.608038678845653990e+00,6.758031453255191057e-01
1.110000000000000142e+01,4.875335511982537007e+00,3.608039447035265912e+00,6.758070005547892611e-01
1.120000000000000107e+01,4.875336358668167946e+00,3.608040125865325631e+00,6.758067297368480775e-01
1.130000000000000071e+01,4.875333967529017265e+00,3.608038208770985023e+00,6.758095931409023871e-01
1.140000000000000036e+01,4.875335486593333378e+00,3.608039426687009943e+00,6.758082365416517856e-01
1.150000000000000000e+01,4.875334247503344542e+00,3.608038433244308063e+00,6.758173348214330245e-01
1.160000000000000142e+01,4.875336150487485476e+00,3.608039958993824570e+00,6.758125501120751943e-01
1.170000000000000107e+01,4.875334816938909910e+00,3.608038889809324967e+00,6.758201469694341545e-01
1.180000000000000071e+01,4.875335628879267524e+00,3.608039540799902856e+00,6.758147815955697357e-01
1.190000000000000036e+01,4.875336296961959803e+00,3.608040076443626898e+00,6.758154824599563737e-01
1.200000000000000000e+01,4.875336291860624449e+00,3.608040072353561278e+00,6.758097425321921703e-01
1.210000000000000142e+01,4.875333675966293967e+00,3.608037975048946411e+00,6.758088043335666040e-01
1.220000000000000107e+01,4.875334478440096930e+00,3.608038618434558309e+00,6.758096455064518393e-01
1.230000000000000071e+01,4.875333885452587168e+00,3.608038143004347109e+00,6.758083586130297915e-01
1.240000000000000036e+01,4.875337320241897920e+00,3.608040896853751178e+00,6.758031993205836363e-01
1.250000000000000000e+01,4.875333197443626254e+00,3.608037591426688451e+00,6.758035770111003870e-01
1.260000000000000142e+01,4.875333571332684635e+00,3.608037891190074120e+00,6.758101499849150651e-01
1.270000000000000107e+01,4.875334944985904251e+00,3.608038992523414645e+00,6.758088713859244923e-01
1.280000000000000071e+01,4.875333837743691667e+00,3.608038104788757305e+00,6.758137455663524307e-01
1.290000000000000036e+01,4.875334962917669657e+00,3.608039006909269375e+00,6.758108658522901102e-01
1.300000000000000000e+01,4.875332771236045915e+00,3.608037249714985961e+00,6.758189913730711096e-01
1.310000000000000142e+01,4.875336188749125554e+00,3.608039989772832357e+00,6.758178108526392558e-01
1.320000000000000107e+01,4.875336464748993848e+00,3.608040211060581370e+00,6.758178398805080311e-01
1.330000000000000071e+01,4.875336716059823772e+00,3.608040412553471299e+00,6.758121395597167513e-01
1.340000000000000036e+01,4.875334846636080854e+00,3.608038913727523056e+00,6.758102872502262937e-01
1.350000000000000000e+01,4.875335014673016332e+00,3.608039048452015063e+00,6.758127142919858610e-01
1.360000000000000142e+01,4.875337382206380354e+00,3.608040946643707336e+00,6.758085691540182127e-01
1.370000000000000107e+01,4.875335851872816484e+00,3.608039719695091296e+00,6.758057319866287438e-01
1.380000000000000071e+01,4.875337098683251824e+00,3.608040719322545886e+00,6.758040389670578740e-01
1.390000000000000036e+01,4.875334640634018335e+00,3.608038748593952683e+00,6.758050265429459413e-01
1.400000000000000000e+01,4.875335706569204675e+00,3.608039603203848866e+00,6.758007978721080056e-01
1.410000000000000142e+01,4.875335112138312610e+00,3.608039126625040005e+00,6.758063918329759723e-01
1.420000000000000107e+01,4.875334908770192044e+00,3.608038963574887514e+00,6.758049606715302859e-01
1.430000000000000071e+01,4.875333329727177478e+00,3.608037697582712866e+00,6.758106215066858047e-01
1.440000000000000036e+01,4.875333978828812143e+00,3.608038218003698283e+00,6.758165415796513198e-01
1.450000000000000000e+01,4.875335730028370840e+00,3.608039622055092988e+00,6.758150370137452345e-01
1.460000000000000142e+01,4.875335836506031306e+00,3.608039707424944620e+00,6.758100702320704034e-01
1.470000000000000107e+01,4.875336024613656782e+00,3.608039858241149478e+00,6.758044295562566361e-01
1.480000000000000071e+01,4.875333866786384363e+00,3.608038128212617490e+00,6.758054855748251155e-01
1.490000000000000036e+01,4.875334361905326652e+00,3.608038525172912347e+00,6.758142002253888503e-01
1.500000000000000000e+01,4.875335216752401557e+00,3.608039210556519105e+00,6.758140854782903606e-01
1.510000000000000142e+01,4.875337381137278214e+00,3.608040945876914929e+00,6.758035043210111059e-01
1.520000000000000107e+01,4.875335022863432677e+00,3.608039055144808049e+00,6.758041228851902060e-01
1.530000000000000071e+01,4.875334769459914064e+00,3.608038851979778361e+00,6.758033316424021386e-01
1.540000000000000036e+01,4.875336527293835154e+00,3.608040261312228214e+00,6.758062856036011201e-01
1.550000000000000000e+01,4.875335076853961169e+00,3.608039098424011382e+00,6.758064483642093334e-01
1.560000000000000142e+01,4.875334486136358336e+00,3.608038624816810369e+00,6.758039189559756910e-01
1.570000000000000107e+01,4.875334403717045184e+00,3.608038558737557189e+00,6.758065087239959468e-01
1.580000000000000071e+01,4.875333512635196875e+00,3.608037844313558118e+00,6.758099218800089902e-01
1.590000000000000036e+01,4.875335549149935943e+00,3.608039477098674563e+00,6.758066117894303559e-01
1.600000000000000000e+01,4.875334409145834158e+00,3.608038563101309215e+00,6.758074271526367527e-01
1.610000000000000142e+01,4.875334398032508787e+00,3.608038554191194347e+00,6.758056772806739776e-01
1.619999999999999929e+01,4.875335123937335702e+00,3.608039136183687212e+00,6.758081716483499424e-01
1.630000000000000071e+01,4.875333050266574375e+00,3.608037473614519985e+00,6.758183828171622221e-01
1.640000000000000213e+01,4.875336538571231060e+00,3.608040270427408380e+00,6.758151791135671438e-01
1.650000000000000000e+01,4.875335982669198209e+00,3.608039824725579603e+00,6.758120437016539306e-01
1.660000000000000142e+01,4.875336783214960334e+00,3.608040466569640170e+00,6.758101188816311167e-01
1.669999999999999929e+01,4.875333421851050453e+00,3.608037771579481578e+00,6.758145441646337126e-01
1.680000000000000071e+01,4.875336116378712781e+00,3.608039931949965418e+00,6.758117898506618149e-01
1.690000000000000213e+01,4.875335240801925707e+00,3.608039229949537408e+00,6.758111134728423952e-01
1.700000000000000000e+01,4.875332800958746660e+00,3.608037273789201027e+00,6.758163917353166017e-01
1.710000000000000142e+01,4.875337031980777169e+00,3.608040666075665204e+00,6.758082563854608260e-01
1.719999999999999929e+01,4.875334588206555075e+00,3.608038706775059890e+00,6.758030449157428343e-01
1.730000000000000071e+01,4.875334250158382510e+00,3.608038435747191741e+00,6.758084507080683867e-01
1.740000000000000213e+01,4.875333887461292370e+00,3.608038144953998216e+00,6.758062160447162459e-01
1.750000000000000000e+01,4.875334426607305538e+00,3.608038577213526832e+00,6.758093850688045023e-01
1.760000000000000142e+01,4.875335927741027753e+00,3.608039780753111270e+00,6.758107241197840453e-01
1.769999999999999929e+01,4.875336066522714340e+00,3.608039892022153694e+00,6.758094143984315627e-01
1.780000000000000071e+01,4.875337316049755287e+00,3.608040893835199103e+00,6.758089482834047645e-01
1.790000000000000213e+01,4.875336598029338830e+00,3.608040318160155469e+00,6.758093916252544409e-01
1.800000000000000000e+01,4.875334662717717649e+00,3.608038766516792784e+00,6.758083544655514308e-01
1.810000000000000142e+01,4.875334733045553648e+00,3.608038822902279286e+00,6.758057791494110900e-01
